Ourcontigname,MM.darkorange
contig108816_178642_118021_116956,NA
contig108818,NA
contig108822,NA
contig108823,NA
contig108824_146436,NA
contig108838_117858,NA
contig108839_107604,NA
contig108846,NA
contig108850_112155_119823,NA
contig108856_176058,NA
contig108858,NA
contig108866,NA
contig108868,NA
contig108869_158600,NA
contig108875,NA
contig108877_161014,NA
contig108893,NA
contig108923,NA
contig108924,NA
contig108929,NA
contig108933,NA
contig10895,NA
contig108950,NA
contig108971,NA
contig108972_111796,NA
contig108989,NA
contig109012,NA
contig109014,NA
contig109017,NA
contig109025,NA
contig109034,NA
contig109068,NA
contig109072,NA
contig109078,NA
contig109085,NA
contig109091,NA
contig109100,NA
contig109102,NA
contig109110,NA
contig109115_138935,NA
contig109117,NA
contig109127_170689,NA
contig109128,NA
contig109129,NA
contig109131,NA
contig109132,NA
contig109139,NA
contig109143_127970,NA
contig109150,NA
contig109151,NA
contig109160,NA
contig109172_88656,NA
contig10918,NA
contig109190,NA
contig109193_72868,NA
contig109195,NA
contig109203,NA
contig109204,NA
contig109214_155926,NA
contig109225,NA
contig109226_69651_156178_60739_76226_170851_20986_171002_20099,NA
contig109241,NA
contig109242,NA
contig109250_153681_218666,NA
contig109253_129996_152838_171774,NA
contig109256,NA
contig109257_213679,NA
contig109260_1152,NA
contig109263,NA
contig109264_107434,NA
contig109265,NA
contig109282,NA
contig109290_210395,NA
contig109294,NA
contig109301_92168,NA
contig109305_147574,NA
contig109307,NA
contig109311,NA
contig109316,NA
contig109317_112091,NA
contig109325_210663_80562_73551_131276,NA
contig109326,NA
contig109335_109040,NA
contig109343,NA
contig109347,NA
contig109351,NA
contig109357,NA
contig109368,NA
contig109385_108806_119407,NA
contig109394,NA
contig109396,NA
contig109441,NA
contig109444,NA
contig109452,NA
contig109454_149736,NA
contig109456,NA
contig109473_179404,NA
contig109478_169885,NA
contig109479,NA
contig109490,NA
contig109500,NA
contig109530_169158,NA
contig109531_177717,NA
contig109546_147642,NA
contig109547,NA
contig109551,NA
contig109555_218905,NA
contig109558,NA
contig109565,NA
contig109567,NA
contig109568,NA
contig109571,NA
contig109576_131121,NA
contig109587_116618,0.881037269364799
contig109591,NA
contig109599,NA
contig109608,NA
contig109615_180762,NA
contig109620,NA
contig109623,NA
contig109624,NA
contig109627,NA
contig109642,NA
contig109646,NA
contig109651_151730,NA
contig109664_201994,NA
contig109665,NA
contig109667,NA
contig109674,NA
contig109676_150094,NA
