"logFC","logCPM","F","PValue","FDR"
"contig212185",7.62171471567574,5.65462488329666,84.2856832600647,9.17353502901975e-11,3.38055953057218e-08
"contig112718_123967_18547",6.28625608360661,8.97808242465392,86.0382370755153,9.80514142367869e-11,3.49123490900306e-08
"contig145010",3.22505251910232,10.1618616535769,83.4493645183754,9.93600510206708e-11,3.49123490900306e-08
"contig171850",2.97844038444388,7.67584385478519,82.7014180171513,1.11006168499911e-10,3.81180045423898e-08
"contig150839",3.48182560586591,7.53285386274302,81.8950582722444,1.25196595709027e-10,4.20354525459487e-08
"contig203814",-2.98680734363176,9.22038222831766,81.1227996217115,1.40596452263987e-10,4.6179821679491e-08
"contig14948_81708_116425",2.42067214213793,7.60969376745612,80.7975905318297,1.47670340162397e-10,4.74713014790139e-08
"contig215292",9.92122353663613,7.60866128534983,83.9983806350489,1.79122574283979e-10,5.58179586548028e-08
"contig16207_170396_82769",2.97271127685919,6.54054815507287,79.3483023544348,1.84098268432088e-10,5.58179586548028e-08
"contig24499_94274",5.95560738826787,9.72756987819736,81.9312476712228,1.84717581093397e-10,5.58179586548028e-08
"contig163512_152421_180625",2.27460891854373,9.17232021551931,78.5378173194363,2.08516922621141e-10,6.17741604682905e-08
"contig182681",5.35251856741954,6.69768939947117,78.0690369041659,2.24185710466893e-10,6.33655769028306e-08
"contig176959",3.54772042376091,10.5315808840979,78.0591990980405,2.24527588180863e-10,6.33655769028306e-08
"contig191389",4.15118102269397,8.69700282699853,77.8870199164411,2.30601244613507e-10,6.33655769028306e-08
"contig212870_151407",2.43553176492475,6.16197513647641,77.8710235694594,2.31174280850802e-10,6.33655769028306e-08
"contig172535_101930",3.77422733594169,11.8930784950807,77.7691787717169,2.34858184298002e-10,6.33655769028306e-08
"contig177321_106959_163805",2.99954978182906,12.0373068500424,77.1588189863416,2.58278483047548e-10,6.79491336237846e-08
"contig153936_205344",4.18607194635596,5.12196799046736,77.0956154271317,2.60841203930075e-10,6.79491336237846e-08
"contig146476",2.50911777194176,6.88543130595144,76.6887641238819,2.77995527986063e-10,7.11904141074818e-08
"contig100368",-3.46535286098118,5.97392553752937,75.9220082053147,3.13653554231107e-10,7.89831925146299e-08
"contig150330",2.80306651485565,6.69604550591562,74.3290085374162,4.04143632691407e-10,1.00101740103844e-07
"contig169843",-5.38153696214647,4.59031785643772,74.0220354705035,4.24558728785302e-10,1.03462223116405e-07
