"logFC","logCPM","F","PValue","FDR"
"contig114829_170976_600076_145434_138914",2.13264073976206,9.12107219206874,46.7494414005382,6.7293926932028e-08,5.87713261280932e-06
"contig145436_106480",-3.97076009378747,9.76116772103469,47.4426722922804,6.91958048686651e-08,5.9788152550564e-06
"contig189582_176945_11815_152396",2.20147691583554,11.360877638845,46.6170829835156,6.9249630659532e-08,5.9788152550564e-06
"contig81979",5.27029413460085,4.45004935734176,46.5064185622272,7.09309764836424e-08,6.0891825209736e-06
"contig170113_77517",2.24337042965297,7.4925689077609,46.46799267095,7.15248531950373e-08,6.1054746153888e-06
"contig148607_176183",-2.19073741654225,7.21805439279067,46.2562458452318,7.48932520269805e-08,6.35709070154858e-06
"contig72668",1.99036730344311,6.21410614219216,46.152395001497,7.66062926900841e-08,6.46617025840492e-06
"contig152025",3.70093482915008,7.3140443252551,45.8504177024008,8.18273646623878e-08,6.86849807046676e-06
"contig188903_205952",3.02866210260559,9.16070388602881,45.520839828692,8.7958348032698e-08,7.34233525097257e-06
"contig109623",2.3493972375378,4.37683595265332,45.4124052210421,9.00803665644388e-08,7.47815526605553e-06
"contig203401",-1.82252642314368,6.85498657120139,45.3193359961841,9.19449259433413e-08,7.59123435015269e-06
"contig149078_57008",1.72338281202989,7.44787076211021,45.204642165012,9.4299094095806e-08,7.72637162731493e-06
"contig111827_78794",1.82350499451681,4.89924830162307,45.1899875308459,9.46044576777591e-08,7.72637162731493e-06
"contig71989",1.54222067037232,7.91560912373285,45.1589567830809,9.52545169666279e-08,7.7309296308921e-06
"contig99943",11.4606108898586,7.295213246894,48.3868246627475,9.56836217470927e-08,7.7309296308921e-06
"contig165011",6.36612476117218,4.23955371509849,45.3494450844982,9.75721551082479e-08,7.84158346558786e-06
"contig117574_147042",2.33842222625912,5.27533480662285,44.8461882221806,1.02077100792782e-07,8.12024123284411e-06
"contig167914_209455_177529_204663_203701",-2.73406851555647,7.71142141488876,44.8445416487996,1.02114357948268e-07,8.12024123284411e-06
"contig169305_25559_207989",1.76677382748063,9.41245237096096,44.739836112712,1.04513362619203e-07,8.26749945452115e-06
"contig145441",3.008788617012,6.65610062325439,44.6286601858212,1.07126064627575e-07,8.43004015863559e-06
"contig205225_169604_210274",-1.81774982415025,8.09012020862674,44.4482413392222,1.11514270167793e-07,8.72989175111497e-06
"contig81647_79368",2.58896630522761,5.69861314052388,44.3368003876302,1.14319543527163e-07,8.88894440316658e-06
"contig132765_144910_159598",2.04116287124015,8.38614191257554,44.321025990174,1.14722626157753e-07,8.88894440316658e-06
"contig147542",3.23639395051932,7.5130015864946,44.2726750531279,1.1596753912461e-07,8.93955892160064e-06
"contig72800",1.91683788199614,5.74759829835169,44.1766477523577,1.18482608512488e-07,9.08707478180292e-06
"contig152085",1.37539267951127,11.6505426613405,44.1186903337861,1.20028478202989e-07,9.15914281398467e-06
"contig204589",2.83111835678688,9.3087964300374,44.0707363463964,1.21323675676524e-07,9.2114543507367e-06
"contig145730",2.87952149421318,7.57677335171102,43.9503918646759,1.2463969007428e-07,9.34761094720842e-06
"contig145005",1.5037119395344,9.44241718502743,43.9423889993939,1.24863580459386e-07,9.34761094720842e-06
"contig169959_13002_150419_175881_179376_120230",2.45561482318797,6.94868147427742,43.9384825341429,1.24973023451989e-07,9.34761094720842e-06
"contig107125",2.24453456546792,6.25688011970915,43.7295993481187,1.30975567529399e-07,9.74832438325959e-06
"contig115890_205214",4.15362629755328,5.02235688516351,43.6641716427629,1.32917926181028e-07,9.78513649208648e-06
"contig145146",1.6403884299727,8.5825158271775,43.6608330561709,1.33017853476962e-07,9.78513649208648e-06
"contig19196_74211_158296",2.29097129219584,6.78890813278482,43.6476546889548,1.33413072828765e-07,9.78513649208648e-06
"contig204398_111448",-3.97914696503817,6.66764695059876,43.641635948849,1.36532240930378e-07,9.9398935675937e-06
"contig68452_108879_78742",-2.91304237864536,4.37658981710194,43.5351277378441,1.36838828649116e-07,9.9398935675937e-06
"contig147419",1.87595543740231,8.16959037998547,43.3895826829997,1.4140853228081e-07,1.02226866709606e-05
"contig176605",3.57263688097266,5.13847323633283,43.2447261963752,1.46117369230518e-07,1.04994824856597e-05
"contig107567",9.90972871987644,3.35349719898306,60.9119468284057,1.46627229100152e-07,1.04994824856597e-05
"contig152997_143698_202181",2.92207725140833,6.77904010636528,43.1599692507471,1.4894931004571e-07,1.06154487050973e-05
"contig145294_114125",2.14996127528346,10.0768816774467,43.1124357036467,1.50562910283879e-07,1.06800704764278e-05
"contig209457",2.23649936147196,8.09911171831382,43.0790575114486,1.5170704124845e-07,1.07109424589852e-05
"contig162157_183588",2.16164010334135,8.86061449889901,42.9801433776751,1.55151992262971e-07,1.08732364627992e-05
"contig186839",3.50164265555607,4.19807180496009,42.9718367926719,1.55445037789703e-07,1.08732364627992e-05
"contig100349",3.65732244809412,5.82615967707366,42.8910669053847,1.58325243188587e-07,1.10236686605362e-05
"contig68366",2.3327052708048,6.52847774986825,42.8251980412117,1.60715913599509e-07,1.11387923787843e-05
"contig176089_153680_176399",2.74177691207088,9.49409217965673,42.7283459181296,1.64300772457183e-07,1.13352528358702e-05
"contig113575",2.34473477819281,5.11306203898075,42.3382454998159,1.79620283942362e-07,1.22833101557562e-05
"contig208463",3.47771397069406,6.82670668080228,42.3279837326269,1.80043134312644e-07,1.22833101557562e-05
"contig179137",7.0374819260111,3.28676919393961,42.3173725526888,1.80481491467197e-07,1.22833101557562e-05
"contig203761_176231",1.35256933145446,8.97332974726745,41.8615807315496,2.00419544587787e-07,1.35790982025869e-05
"contig59932",1.84818714429006,7.4457992895788,41.7881284652095,2.03845016974388e-07,1.37495283994019e-05
"contig151774",2.31383731886221,6.90189828652817,41.7465245529804,2.05812685250723e-07,1.37681788104252e-05
"contig13589_65111_147104_195603",1.85591736215366,9.38785943631646,41.7437623569388,2.05944034095976e-07,1.37681788104252e-05
"contig77862_150672",2.2522688592284,9.25471028846779,41.5344134500213,2.16162048306337e-07,1.43876316645835e-05
"contig209263",4.05561631150027,5.51514133237176,41.5145870644716,2.17157198754082e-07,1.43904741928746e-05
"contig211242_82211_151261",-3.43549852208169,5.18958156711357,41.4718412682917,2.19319291652922e-07,1.44702846182707e-05
"contig151348",4.92643015437023,4.85419827258185,41.4904500580426,2.20618642246279e-07,1.44927263726045e-05
"contig210251",1.67065935872949,8.8018991996308,41.2859995626131,2.28987680369082e-07,1.49383327050752e-05
"contig209055",3.77879410084754,5.79798082639955,41.2786464269125,2.29379388945492e-07,1.49383327050752e-05
"contig177708",-2.8320580345664,6.18852604192249,41.1368684260753,2.37072424355331e-07,1.53730783673163e-05
"contig17128_66205",1.72099041841127,7.67071617671975,41.0692046405855,2.4083982139632e-07,1.55506361601581e-05
"contig172112_149440",-3.67526965820192,4.07877728160341,41.008398415686,2.44279507791195e-07,1.56428341001311e-05
"contig167229",-2.66835275438022,5.960405780967,41.0053273987632,2.44454603367566e-07,1.56428341001311e-05
"contig171654",2.75509065982829,5.2480288296339,40.9892448739808,2.45373729679732e-07,1.56428341001311e-05
"contig145724",2.83640284671725,6.81910197416972,40.9247711891995,2.49095348394626e-07,1.58133681466151e-05
